comparison,candidate,reference,metric,candidate_point,reference_point,difference_point,ci_low,ci_high,two_sided_empirical_p,bootstrap_reps,patient_count,roi_count
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,weighted_f1,0.7505272010368453,0.7331334545893092,0.017393746447536107,0.0074316811948778585,0.027469515820344625,0.0011997600479904018,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,qwk,0.7940985052434533,0.7750247603832812,0.019073744860172104,0.010904953015982604,0.027399526670521247,0.0003999200159968006,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,mae,0.2877770315648086,0.31900604432505036,-0.03122901276024176,-0.0430200836175572,-0.020006395539521115,0.0003999200159968006,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,high_risk_recall_argmax,0.79004329004329,0.7813852813852814,0.008658008658008587,-0.0024216020690101246,0.020750136435693296,0.23395320935812838,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,false_clear_rate_argmax,0.20995670995670995,0.21861471861471862,-0.00865800865800867,-0.020750136435693307,0.0024216020690102026,0.23395320935812838,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,risk_auprc,0.842750807550786,0.8387296207227268,0.004021186828059187,-0.0036527021510566722,0.012190000047910845,0.3207358528294341,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,risk_brier,0.05663366953945585,0.059643937216811244,-0.003010267677355391,-0.004054092359260407,-0.0019978370864008072,0.0003999200159968006,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,risk_ece,0.04070249184249082,0.06190398217576441,-0.021201490333273593,-0.024871660776491677,-0.01656875552007466,0.0003999200159968006,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,crossfit_roi_recall,0.9025974025974026,0.8961038961038961,0.006493506493506551,-0.006225368495980804,0.019704433497536922,0.40471905618876225,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,crossfit_roi_specificity,0.8859300476947536,0.8751987281399046,0.010731319554848961,0.005132254243979559,0.016727996215870886,0.0007998400319936012,5000,468,2978
total_proposed_vs_original,Original_CORAL_RISK_G_60_40,Original_60_40,crossfit_roi_flag_rate,0.2364002686366689,0.24445936870382806,-0.008059100067159153,-0.013413816230717662,-0.003067250145400635,0.0011997600479904018,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,accuracy,0.7595701813297515,0.7609133646742781,-0.001343183344526544,-0.013127114367821211,0.009996881259810731,0.8582283543291341,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,macro_f1,0.5599208447617213,0.5890075338874996,-0.029086689125778276,-0.05468834941742313,-0.0036757741269023017,0.020395920815836834,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,weighted_f1,0.7255717621303338,0.7439998887062257,-0.01842812657589188,-0.032067073324611554,-0.005167240167138304,0.003199360127974405,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,qwk,0.7832715222537914,0.7932750171231893,-0.010003494869397889,-0.02156816090349127,0.0017797976662280348,0.09718056388722256,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,mae,0.2800537273337811,0.2689724647414372,0.011081262592343877,-0.0013468581259475278,0.02337428500273145,0.08558288342331534,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,high_risk_recall_argmax,0.7316017316017316,0.6753246753246753,0.05627705627705626,0.031313609081419606,0.08182014106583077,0.0003999200159968006,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,false_clear_rate_argmax,0.2683982683982684,0.3246753246753247,-0.05627705627705626,-0.08182014106583074,-0.03131360908141962,0.0003999200159968006,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,risk_auprc,0.8363762326548169,0.8307561298397841,0.005620102815032779,-0.005535155530232411,0.017025866906768928,0.3271345730853829,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,risk_brier,0.055811137427067684,0.05738806792737619,-0.0015769305003085071,-0.0035903527954718054,0.0004272717975551238,0.12157568486302739,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,risk_ece,0.028615646958376862,0.032201237654574943,-0.0035855906961980814,-0.009663583001060811,0.003744101692508271,0.38552289542091583,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,crossfit_roi_recall,0.8939393939393939,0.8961038961038961,-0.0021645021645021467,-0.017661456432184364,0.013129822641943935,0.9134173165366927,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,crossfit_roi_specificity,0.8620826709062003,0.8672496025437202,-0.0051669316375199115,-0.013826844772126933,0.003985691383427924,0.28594281143771244,5000,468,2978
branch_risk_auxiliary_increment,CORAL_RISK_G,CORAL,crossfit_roi_flag_rate,0.2552048354600403,0.2511752854264607,0.004029550033579576,-0.004069591638030385,0.011729247089069346,0.35392921415716855,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,accuracy,0.7431161853593016,0.7595701813297515,-0.01645399597044994,-0.028532851072552448,-0.004113745097755951,0.008398320335932814,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,macro_f1,0.5574248491682176,0.5599208447617213,-0.0024959955935037748,-0.027356879665424196,0.023693520391165103,0.8562287542491501,5000,468,2978
safety_checkpoint_vs_grade_checkpoint,CORAL_RISK_S,CORAL_RISK_G,weighted_f1,0.727723375352105,0.7255717621303338,0.0021516132217711537,-0.011682856128713292,0.01632877490747484,0.7666466706658668,5000,468,2978
