case_key,case,outer_fold,branch,method,target_class,fraction,original_prob,random_prob_mean,random_prob_sd
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Integrated Gradients,0,0.05,0.5295806527137756,0.5145030915737152,0.0175786213195857
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Integrated Gradients,0,0.1,0.5295806527137756,0.5097233176231384,0.0296395320655727
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Integrated Gradients,0,0.2,0.5295806527137756,0.4596253752708435,0.0355272805695989
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Integrated Gradients,0,0.3,0.5295806527137756,0.3955877482891082,0.04280322561036
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Occlusion,0,0.05,0.5295806527137756,0.5208900213241577,0.0246040629957051
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Occlusion,0,0.1,0.5295806527137756,0.5079260349273682,0.023286521361714
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Occlusion,0,0.2,0.5295806527137756,0.4575294941663742,0.0454616041279678
FAITH_005,F1_benefit_correction,1,CORAL-MSaux,Occlusion,0,0.3,0.5295806527137756,0.3959508746862411,0.0347899531529293
FAITH_005,F1_benefit_correction,1,Original DeiT,Integrated Gradients,2,0.05,0.4730742871761322,0.5065706133842468,0.043001612406061
FAITH_005,F1_benefit_correction,1,Original DeiT,Integrated Gradients,2,0.1,0.4730742871761322,0.5565255105495452,0.0343026672077106
FAITH_005,F1_benefit_correction,1,Original DeiT,Integrated Gradients,2,0.2,0.4730742871761322,0.5460003346204758,0.0353677070173643
FAITH_005,F1_benefit_correction,1,Original DeiT,Integrated Gradients,2,0.3,0.4730742871761322,0.578832532465458,0.0336959422209603
FAITH_005,F1_benefit_correction,1,Original DeiT,Occlusion,2,0.05,0.4730742871761322,0.5158398926258088,0.0349392789055342
FAITH_005,F1_benefit_correction,1,Original DeiT,Occlusion,2,0.1,0.4730742871761322,0.5495928347110748,0.0344975772561947
FAITH_005,F1_benefit_correction,1,Original DeiT,Occlusion,2,0.2,0.4730742871761322,0.5469753295183182,0.0403359451442396
FAITH_005,F1_benefit_correction,1,Original DeiT,Occlusion,2,0.3,0.4730742871761322,0.5571569472551345,0.0235930945967055
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Integrated Gradients,0,0.05,0.5753597617149353,0.5726948380470276,0.0247700622109147
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Integrated Gradients,0,0.1,0.5753597617149353,0.5496044486761094,0.020589272927775
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Integrated Gradients,0,0.2,0.5753597617149353,0.5321299016475678,0.0470942650738865
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Integrated Gradients,0,0.3,0.5753597617149353,0.4688705593347549,0.038604643523677
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Occlusion,0,0.05,0.5753597617149353,0.5694362550973893,0.0267312695496383
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Occlusion,0,0.1,0.5753597617149353,0.5470259487628937,0.0271841528459696
FAITH_006,F1_boundary_disagreement,1,CORAL-MSaux,Occlusion,0,0.2,0.5753597617149353,0.49980438798666,0.0425602898714877
